StateID,TemporalPropertyID,Method,BinID,BinLow,BinHigh
1,54,gradient,0,-50.67227010591202,-0.4624296711512948
2,56,gradient,1,-0.2019410658487741,0.3927401845941456
3,57,gradient,2,0.0,6.736917405770202
4,60,gradient,0,-37.64762064010765,0.0
5,62,gradient,1,-0.40769381110253694,0.6743514105581084
6,63,gradient,2,0.15117156555223768,24.623564786175095
7,72,gradient,0,-13.578114278048261,-0.17934473618647348
8,73,gradient,1,-20.449501534021433,27.823402368793143
9,74,gradient,2,0.08371096744902662,4.546423703440357
10,76,gradient,0,-14.556940806129306,-0.10411094907248436
11,77,gradient,1,-0.04698740381799032,0.06874906425429926
12,66,gradient,2,0.12054309289332266,42.95799894741432
13,47,gradient,0,-89.69642160203605,-1.1449651197535666
14,71,gradient,1,-0.043459194949082236,0.03188114469942886
15,69,gradient,2,0.07818226392713644,17.447188423282203
16,61,gradient,0,-30.96375653207352,-0.014360403804762086
17,78,gradient,1,0.0,0.0
18,59,gradient,2,0.006014660744965286,16.60925123152034
19,51,gradient,0,-42.436229788535,-0.19105731084899177
20,52,gradient,1,-0.019197817129155456,0.059838878236023976
21,55,gradient,2,0.0,30.96375653207352
22,1,gradient,0,-0.19347893425313786,0.0
23,64,gradient,1,-0.27889788795655707,0.0
24,65,gradient,2,0.5617053325706337,34.01934998982646
25,68,gradient,0,-9.230114348097242,-0.15609620028434204
26,53,gradient,1,-0.008020790406173728,-0.0024229514448784344
27,67,gradient,2,0.0,49.49960770947293
28,50,gradient,0,-82.05374288603136,-0.23151194771452552
29,48,gradient,1,-0.017496868386564456,0.1184126766550232
30,58,gradient,2,0.055714832418108436,27.928978708680912
31,75,gradient,0,-12.485467490857152,-0.028084137715407166
32,70,gradient,1,-0.7206636225174919,0.0
33,49,gradient,2,0.42971028940521216,83.06316794697423
